paper_id,Recency,Spec_P,n_ref,n_cite,Cite_per_paper,Auth_collab,CiteScore,Percentile,Percent_Cited,SNIP,SJR
2662,0.0555555555555555,0,5,5,10.00952380952381,46.5,4.8,99.0,88.0,2.033,2.883
29197,0.0769230769230769,1,7,4,6.958333333333334,8.5,3.23,88.0,81.0,1.85,2.047
24148,0.0909090909090909,1,4,3,2.4346774193548386,30.75,4.8,99.0,88.0,2.033,2.883
7233,0.1666666666666666,0,15,1,4.333333333333333,8.333333333333334,4.8,99.0,88.0,2.033,2.883
15990,0.1,0,2,3,2.035714285714286,28.75,1.87,70.0,63.0,0.937,0.604
41809,0.125,0,2,0,0.125,5.5,1.23,52.0,54.0,0.458,0.36
28624,0.1666666666666666,1,0,1,0.9428571428571428,8.142857142857142,1.87,70.0,63.0,0.937,0.604
22092,0.125,1,3,2,1.7083333333333333,10.5,1.59,65.0,65.0,0.772,0.474
38148,0.1,0,1,8,3.7453846153846153,24.5,1.87,70.0,63.0,0.937,0.604
40107,0.0555555555555555,1,0,1,1.2857142857142858,10.4,1.59,64.0,58.0,0.915,0.28
893,0.0833333333333333,0,0,1,1.7727272727272727,36.333333333333336,1.05,50.0,55.0,0.848,0.267
21173,0.2,0,3,1,2.25,33.166666666666664,1.87,70.0,63.0,0.937,0.604
38909,0.0769230769230769,1,1,3,1.34375,47.5,1.87,70.0,63.0,0.937,0.604
38268,0.0476190476190476,1,1,0,1.1317730496453902,90.8,1.87,70.0,63.0,0.937,0.604
26870,0.0454545454545454,0,1,2,2.0,3.0,1.87,70.0,63.0,0.937,0.604
29248,0.0714285714285714,0,0,1,1.0,1.0,1.05,50.0,55.0,0.848,0.267
28255,0.0769230769230769,0,1,1,2.3433333333333333,21.8,1.87,70.0,63.0,0.937,0.604
14690,0.0357142857142857,1,2,5,2.4246827246827247,46.55555555555556,1.59,65.0,65.0,0.772,0.474
11761,0.2,1,1,0,0.0,4.0,1.59,64.0,58.0,0.915,0.28
27059,0.1666666666666666,1,7,0,28.975,8.5,3.23,88.0,81.0,1.85,2.047
7874,0.0526315789473684,0,0,1,1.6458333333333337,6.75,3.23,88.0,81.0,1.85,2.047
14151,0.1666666666666666,1,0,1,1.0,2.0,1.23,52.0,54.0,0.458,0.36
44903,0.0526315789473684,1,4,8,5.85,4.5,3.23,88.0,81.0,1.85,2.047
20349,0.0454545454545454,1,8,1,3.166666666666667,6.5,4.8,99.0,88.0,2.033,2.883
11921,0.0555555555555555,1,4,2,2.0,0.0,4.8,99.0,88.0,2.033,2.883
16303,0.0714285714285714,1,9,10,15.6,10.0,3.23,88.0,81.0,1.85,2.047
42174,0.0588235294117647,1,2,1,0.6666666666666666,2.0,4.8,99.0,88.0,2.033,2.883
26825,0.1111111111111111,1,3,1,0.9435374149659864,34.0,1.26,57.0,51.0,0.623,0.264
30946,0.0555555555555555,0,0,1,1.0762987012987013,29.5,1.87,70.0,63.0,0.937,0.604
25243,0.0333333333333333,1,3,0,3.333333333333333,6.0,3.23,88.0,81.0,1.85,2.047
8874,0.0476190476190476,0,1,8,6.0,0.0,4.8,99.0,88.0,2.033,2.883
5277,0.0357142857142857,0,1,1,1.0,2.0,4.8,99.0,88.0,2.033,2.883
24125,0.1666666666666666,0,2,0,0.6666666666666667,15.0,1.87,70.0,63.0,0.937,0.604
8293,0.0666666666666666,1,2,0,0.391156462585034,18.0,1.87,70.0,63.0,0.937,0.604
21483,0.03125,1,0,1,13.055555555555555,10.666666666666666,4.8,99.0,88.0,2.033,2.883
15148,0.0555555555555555,1,8,9,11.317290552584671,19.666666666666668,3.23,88.0,81.0,1.85,2.047
27806,0.0833333333333333,1,0,1,0.9297924297924298,23.0,1.59,64.0,58.0,0.915,0.28
12929,0.0434782608695652,1,3,2,1.25,4.0,1.59,65.0,65.0,0.772,0.474
20398,0.125,1,9,0,2.935714285714285,25.0,4.8,99.0,88.0,2.033,2.883
7715,0.1428571428571428,1,1,0,0.6666666666666667,15.0,1.59,65.0,65.0,0.772,0.474
26659,0.1428571428571428,0,2,0,0.0,1.0,1.59,65.0,65.0,0.772,0.474
