Paper_Id,Recency,Spec_P,n_ref,n_cite,degree,Cite_per_paper,Auth_collab,P_index_auth,H_index_auth,CiteScore,Percentile,Percent_Cited,SNIP,SJR
9566,0.0303030303030303,0,0,5,5,9.0,35.0,78.0833,9.0,8.33,99.0,91.0,4.476,5.085
9567,0.0303030303030303,0,0,1,1,2.583333333333333,16.0,13.1667,3.0,8.33,99.0,91.0,4.476,5.085
9569,0.0303030303030303,0,0,3,3,5.0,0.0,5.0,1.0,8.33,99.0,91.0,4.476,5.085
9570,0.0303030303030303,1,0,16,16,28.72222222222222,22.0,132.66665,5.5,8.33,99.0,91.0,4.476,5.085
9571,0.0303030303030303,0,0,25,25,63.0,0.0,63.0,1.0,8.33,99.0,91.0,4.476,5.085
9572,0.0303030303030303,0,0,15,15,28.9375,20.0,201.1667,7.0,8.33,99.0,91.0,4.476,5.085
9573,0.0303030303030303,1,0,10,10,12.31346153846154,88.0,176.1667,10.0,8.33,99.0,91.0,4.476,5.085
9574,0.0303030303030303,1,0,27,27,19.166666666666668,7.0,31.75,1.0,8.33,99.0,91.0,4.476,5.085
9575,0.0303030303030303,0,0,6,6,5.043478260869565,18.0,8.83335,1.5,8.33,99.0,91.0,4.476,5.085
9576,0.0303030303030303,1,0,9,9,9.764705882352942,96.0,89.16665,6.0,8.33,99.0,91.0,4.476,5.085
9577,0.0303030303030303,1,0,3,3,6.617063492063491,56.0,42.72223333333333,4.0,8.33,99.0,91.0,4.476,5.085
9578,0.0303030303030303,1,0,1,1,2.018181818181818,25.0,12.125,2.5,8.33,99.0,91.0,4.476,5.085
10192,0.0303030303030303,1,0,2,2,14.969696969696969,81.0,163.4,8.0,3.33,93.0,73.0,2.241,1.162
10197,0.0303030303030303,1,0,2,2,2.206100217864924,123.0,37.21666666666667,5.0,3.33,93.0,73.0,2.241,1.162
10214,0.0303030303030303,0,0,1,1,6.585106382978723,200.0,347.9488,7.0,3.33,93.0,73.0,2.241,1.162
10226,0.0303030303030303,0,0,3,3,13.212962962962964,213.0,173.52145,8.5,3.33,93.0,73.0,2.241,1.162
10228,0.0303030303030303,0,0,1,1,10.328629032258064,119.0,112.475,7.0,3.33,93.0,73.0,2.241,1.162
10237,0.0303030303030303,0,0,1,1,15.024193548387098,92.0,23.995366666666666,3.0,3.33,93.0,73.0,2.241,1.162
10242,0.0303030303030303,0,0,3,3,4.0,2.0,2.0,1.0,3.33,93.0,73.0,2.241,1.162
10302,0.0303030303030303,1,0,2,2,9.647727272727272,66.0,143.0,5.0,3.33,93.0,73.0,2.241,1.162
10305,0.0303030303030303,1,0,1,1,13.136363636363637,29.0,75.41665,4.0,3.33,93.0,73.0,2.241,1.162
10306,0.0303030303030303,0,0,3,3,43.17333333333333,76.0,5980.0,26.0,3.33,93.0,73.0,2.241,1.162
10311,0.0303030303030303,1,0,12,12,12.304347826086955,198.0,1104.2667,18.0,3.33,93.0,73.0,2.241,1.162
10313,0.0303030303030303,1,0,1,1,2.7586206896551726,49.0,37.4381,5.0,3.33,93.0,73.0,2.241,1.162
10401,0.0303030303030303,0,0,1,1,1.903448275862069,77.0,20.0125,3.5,4.65,99.0,83.0,2.16,1.656
10402,0.0303030303030303,0,0,1,1,2.8181818181818183,25.0,31.0,3.0,4.65,99.0,83.0,2.16,1.656
10404,0.0303030303030303,0,0,3,3,5.42724358974359,147.0,85.06385,5.5,4.65,99.0,83.0,2.16,1.656
10405,0.0303030303030303,1,0,1,1,5.795454545454546,36.0,48.5,5.0,4.65,99.0,83.0,2.16,1.656
10406,0.0303030303030303,0,0,2,2,1.75,3.0,1.25,1.0,4.65,99.0,83.0,2.16,1.656
10407,0.0303030303030303,1,0,4,4,3.25,35.0,77.5595,7.0,4.65,99.0,83.0,2.16,1.656
10408,0.0303030303030303,1,0,3,3,1.25,29.0,28.6667,4.0,4.65,99.0,83.0,2.16,1.656
10409,0.0303030303030303,1,0,6,6,9.916358917315536,514.0,259.4389,13.333333333333334,4.65,99.0,83.0,2.16,1.656
10410,0.0303030303030303,0,0,3,3,8.206521739130435,512.0,534.74,16.0,4.65,99.0,83.0,2.16,1.656
10411,0.0303030303030303,0,0,2,2,7.350344827586207,151.0,180.1,10.0,4.65,99.0,83.0,2.16,1.656
11411,0.0303030303030303,1,0,1,1,5.565600613154961,159.0,76.491675,4.5,3.33,93.0,73.0,2.241,1.162
11414,0.0303030303030303,0,0,1,1,2.018055555555556,153.0,29.09443333333333,3.6666666666666665,3.33,93.0,73.0,2.241,1.162
